log_leaf_number,log_leaf_thickness
1.314341085,-0.832387097
1.356976744,-0.823096774
1.409302326,-0.819483871
1.453875969,-0.820516129
1.479069767,-0.807096774
1.374418605,-0.792129032
1.420930233,-0.790064516
1.453875969,-0.791096774
1.426744186,-0.782322581
1.446124031,-0.767870968
1.438372093,-0.765290323
1.444186047,-0.744129032
1.436434109,-0.741548387
1.471317829,-0.748774194
1.471317829,-0.758064516
1.471317829,-0.760645161
1.521705426,-0.754451613
1.533333333,-0.748774194
1.50620155,-0.745677419
1.54496124,-0.739483871
1.572093023,-0.732258065
1.678682171,-0.733290323
1.628294574,-0.735870968
1.637984496,-0.749290323
1.614728682,-0.753419355
1.589534884,-0.756516129
1.523643411,-0.764258065
1.515891473,-0.765806452
1.550775194,-0.765290323
1.498449612,-0.772
1.490697674,-0.774064516
1.490697674,-0.778193548
1.482945736,-0.786451613
1.508139535,-0.78283871
1.523643411,-0.784387097
1.513953488,-0.777677419
1.525581395,-0.778709677
1.56627907,-0.797806452
1.556589147,-0.793677419
1.560465116,-0.784903226
1.564341085,-0.778709677
1.521705426,-0.772
1.546899225,-0.772
1.552713178,-0.775096774
1.56627907,-0.769935484
1.579844961,-0.773032258
1.601162791,-0.775096774
1.628294574,-0.770451613
