id[ ],sire[ ],dam[ ],year[ ],diet[ ],"obs[ ,1]","obs[ ,2]","obs[ ,3]",PN[ ],CP[ ],DF[ ]
1,600,600,1,0,NA,NA,NA,NA,NA,NA
2,600,600,1,0,NA,NA,NA,NA,NA,NA
3,600,600,1,0,NA,NA,NA,NA,NA,NA
4,600,600,1,0,NA,NA,NA,NA,NA,NA
5,600,600,1,0,NA,NA,NA,NA,NA,NA
6,600,600,1,0,NA,NA,NA,NA,NA,NA
7,600,600,2,0,NA,NA,NA,NA,NA,NA
8,600,600,2,0,NA,NA,NA,NA,NA,NA
9,600,600,2,0,NA,NA,NA,NA,NA,NA
10,600,600,2,0,NA,NA,NA,NA,NA,NA
11,600,600,2,0,NA,NA,NA,NA,NA,NA
12,600,600,1,0,1.62909939,0.342051103,-0.481306697,28.09615385,6.379313725,2150.001923
13,600,600,1,0,1.183376538,2.038168575,2.114751062,25.48809524,11.40562593,2464.039881
14,600,600,1,0,-0.451037968,-0.075479539,-0.161243262,17.83172414,5.52910119,2188.719115
15,600,600,1,0,-0.922097767,-0.947339595,0.05687182,16.08713768,4.101482294,2215.103896
16,600,600,1,0,0.946111172,-0.185702459,-0.331884268,24.2,5.324217391,2168.077143
17,600,600,1,0,1.265547929,1.058353455,-1.02337015,25.95,8.1535,2084.43
18,600,600,1,0,-0.839290197,-0.46759976,-0.454042483,16.38095238,4.8341,2153.3
19,600,600,1,0,-1.256324086,-0.279754503,0.495801411,14.95384615,5.15540625,2268.2
20,600,600,1,0,1.271910896,0.881178652,0.377174258,25.986115,7.673338235,2253.85
21,600,600,1,0,0.820659517,1.549341005,1.035015742,23.54545455,9.647,2333.427273
22,600,600,1,0,-0.720318906,-1.593662833,-0.854409124,16.8125,3.286866667,2104.86875
23,600,600,1,0,-1.892989114,-1.225606833,-0.405984158,13.01123596,3.728556818,2159.113483
24,600,600,1,0,0.764290665,-0.535927384,-1.578421584,23.25714286,4.72226087,2017.286957
25,600,600,1,0,0.941807505,0.745625772,0.141609923,24.17724701,7.32515873,2225.354431
26,600,600,1,0,-0.532309085,0.013928964,-0.673528694,17.51776971,5.701072539,2126.749357
27,600,600,1,0,-1.52995584,-1.134945374,0.095669485,14.08571429,3.846176471,2219.797143
