reversals,stripes
2.981119541,1.629124462
4.172409268,-0.209842116
4.776469141,-0.857781423
3.581242567,-0.984449457
3.602304696,-0.908304285
2.967291368,-0.445167111
3.288587246,-1.094812385
2.983776912,-1.064072176
2.983481649,-1.031494771
2.982694279,-0.944621694
2.99204429,0.423760509
2.686840271,0.497937257
2.712331351,0.085421366
2.68935001,-0.978970679
2.712577404,-1.141726471
2.407865491,-1.121845397
2.396301005,-1.045897068
2.395710478,-0.98074226
2.395218372,-0.926446586
2.403141275,-0.60060693
2.419479188,-0.003223293
2.417412344,0.224818536
2.092966988,-1.178043879
2.09227804,-1.102029936
2.091687513,-1.036875128
2.090998565,-0.960861185
2.089226984,-0.76539676
2.109206479,-0.569801107
2.108615952,-0.504646299
2.113586221,0.146967398
2.112700431,0.24469961
2.112306746,0.288136149
2.110830429,0.45102317
2.098281731,0.635562846
1.792437974,1.98032397
1.789091655,2.34953455
1.80483904,0.612072996
1.784859545,0.416477343
1.786532705,0.231872052
1.80985852,0.058257125
1.811531679,-0.126348165
1.805281936,-0.636793111
1.806856674,-0.810539266
1.808529834,-0.995144556
1.809317203,-1.082017634
1.810104572,-1.168890712
1.51646504,-1.170662292
1.515874513,-1.105507484
1.515382407,-1.051211811
1.512921878,-0.779733443
1.499290547,-0.475743285
1.517892147,-0.128119746
1.498749231,0.783981956
1.494123437,1.294361288
1.517400041,2.326175928
1.200729957,2.46544187
1.207324175,1.737879844
1.215788395,0.803994259
1.21706787,0.662825507
1.218052081,0.55423416
1.220414189,0.293614927
1.221004716,0.228460119
1.224154193,-0.119032192
1.225236826,-0.238482674
1.226909986,-0.423087964
1.197137585,-0.738199713
1.231929465,-0.976903834
1.232618413,-1.052917777
1.232815255,-1.074636047
0.918113594,-1.152552799
0.917326225,-1.065679721
0.927217552,-0.95702276
0.937502563,-0.891802338
0.936912036,-0.826647529
0.936321509,-0.761492721
0.935632561,-0.685478778
0.935042034,-0.62032397
0.934353086,-0.544310027
0.933565717,-0.457436949
0.943358622,-0.337920853
0.942472832,-0.240188641
0.94148862,-0.131597293
0.929924134,-0.055648965
0.917867542,0.074595038
0.917178593,0.150608981
0.916489645,0.226622924
0.915800697,0.302636867
0.933418085,0.758851753
0.928890712,1.25837195
0.911617798,1.964150092
0.962747591,2.322829608
0.603657986,2.342382612
0.628361698,2.016739799
0.609366414,1.712552799
0.604592987,1.039220832
0.629493541,0.69185975
0.632150912,0.398663113
0.63530039,0.051170802
0.636383022,-0.06827968
0.626294853,-0.155218372
