"#NOTES: This file contains years, generation numbers, ear numbers (from 1897-1921 ear numbers indicate",,,,,,,,,,,,,,,,,,,,,,,
#the row (first two digits) and the ear within the row (last 3 digits); for other years the ears are numbered,,,,,,,,,,,,,,,,,,,,,,,
"#without a row designation), and individual ear data",,,,,,,,,,,,,,,,,,,,,,,
#for each generation and each strain of the long-term selection experiment for oil and protein,,,,,,,,,,,,,,,,,,,,,,,
"#at the University of Illinois.  Data for strains selected for protein (IHP, etc.) are",,,,,,,,,,,,,,,,,,,,,,,
"#percent protein on a dry weight basis. Data for strains selected for oil (IHO, etc.) are",,,,,,,,,,,,,,,,,,,,,,,
#percent oil on a dry weight basis.,,,,,,,,,,,,,,,,,,,,,,,
"#Abbreviations used are GEN=overall generation, IHP=Illinois high protein, ILP=Illinois",,,,,,,,,,,,,,,,,,,,,,,
"#low protein, IRHP=Illinois reverse high protein, IRLP=Illinois reverse low protein,",,,,,,,,,,,,,,,,,,,,,,,
"#IRLP2=Illinois reverse low protein 2, IHO=Illinois high oil, ILO=Illinois low oil, IRHO=Illinois",,,,,,,,,,,,,,,,,,,,,,,
"#reverse high oil, IRLO=Illinois reverse low oil, ISHO=Illinois switchback high oil.  Columns",,,,,,,,,,,,,,,,,,,,,,,
"#headed INIHP, INILP, etc. indicate whether an ear was selected as a parent for the next generation.",,,,,,,,,,,,,,,,,,,,,,,
"#A selected ear has a value of 1, a non-selected ear a value of 0.",,,,,,,,,,,,,,,,,,,,,,,
#                            SELECTED (1) OR NOT SELECTED (0) EARS                                       PROTEIN OR OIL VALUES FOR:,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,Year,GEN,EAR,INIHP,INILP,INIHO,INILO,INRHP,INRLP,INRLP2,INRHO,INRLO,INSHO,IHP,ILP,IHO,ILO,IRHP,IRLP,IRLP2,IRHO,IRLO,ISHO
,1896,0,1,0,0,0,0,.,.,.,.,.,.,10.05,10.05,4.77,4.77,.,.,.,.,.,.
,1896,0,2,0,0,1,0,.,.,.,.,.,.,10.42,10.42,5.24,5.24,.,.,.,.,.,.
,1896,0,3,0,0,0,0,.,.,.,.,.,.,11,11,4.9,4.9,.,.,.,.,.,.
,1896,0,4,0,0,0,0,.,.,.,.,.,.,10.89,10.89,4.88,4.88,.,.,.,.,.,.
,1896,0,5,0,0,0,0,.,.,.,.,.,.,11.5,11.5,4.58,4.58,.,.,.,.,.,.
,1896,0,6,0,0,0,0,.,.,.,.,.,.,11.49,11.49,4.26,4.26,.,.,.,.,.,.
,1896,0,7,0,0,0,0,.,.,.,.,.,.,11.78,11.78,4.83,4.83,.,.,.,.,.,.
,1896,0,8,0,1,0,0,.,.,.,.,.,.,9.08,9.08,4.05,4.05,.,.,.,.,.,.
,1896,0,9,1,0,0,0,.,.,.,.,.,.,12.79,12.79,4.25,4.25,.,.,.,.,.,.
,1896,0,10,0,0,0,0,.,.,.,.,.,.,11.76,11.76,4.94,4.94,.,.,.,.,.,.
,1896,0,11,1,0,0,0,.,.,.,.,.,.,12.07,12.07,4.61,4.61,.,.,.,.,.,.
,1896,0,12,1,0,0,0,.,.,.,.,.,.,12.4,12.4,4.74,4.74,.,.,.,.,.,.
,1896,0,13,0,0,0,0,.,.,.,.,.,.,9.34,9.34,4.84,4.84,.,.,.,.,.,.
,1896,0,14,0,0,0,0,.,.,.,.,.,.,10.71,10.71,4.7,4.7,.,.,.,.,.,.
,1896,0,15,0,0,0,0,.,.,.,.,.,.,9.9,9.9,4.97,4.97,.,.,.,.,.,.
,1896,0,16,0,0,0,0,.,.,.,.,.,.,10.68,10.68,4.91,4.91,.,.,.,.,.,.
,1896,0,17,1,0,0,0,.,.,.,.,.,.,12.96,12.96,3.97,3.97,.,.,.,.,.,.
,1896,0,18,0,0,0,0,.,.,.,.,.,.,11.8,11.8,4.8,4.8,.,.,.,.,.,.
,1896,0,19,1,0,0,0,.,.,.,.,.,.,11.89,11.89,4.55,4.55,.,.,.,.,.,.
,1896,0,20,0,0,1,0,.,.,.,.,.,.,10.49,10.49,5.51,5.51,.,.,.,.,.,.
,1896,0,21,0,0,0,0,.,.,.,.,.,.,11.1,11.1,4.38,4.38,.,.,.,.,.,.
,1896,0,22,0,0,0,0,.,.,.,.,.,.,11.84,11.84,4.96,4.96,.,.,.,.,.,.
,1896,0,23,0,0,1,0,.,.,.,.,.,.,10.23,10.23,5.51,5.51,.,.,.,.,.,.
,1896,0,24,0,1,0,0,.,.,.,.,.,.,8.4,8.4,4.91,4.91,.,.,.,.,.,.
,1896,0,25,1,0,0,0,.,.,.,.,.,.,12.28,12.28,4.76,4.76,.,.,.,.,.,.
,1896,0,26,0,0,0,0,.,.,.,.,.,.,10.08,10.08,4.86,4.86,.,.,.,.,.,.
,1896,0,27,0,0,0,0,.,.,.,.,.,.,11.83,11.83,4.51,4.51,.,.,.,.,.,.
,1896,0,28,0,0,0,0,.,.,.,.,.,.,11.25,11.25,4.78,4.78,.,.,.,.,.,.
,1896,0,29,0,0,0,0,.,.,.,.,.,.,11.82,11.82,4.43,4.43,.,.,.,.,.,.
,1896,0,30,1,0,0,0,.,.,.,.,.,.,12.36,12.36,4.84,4.84,.,.,.,.,.,.
,1896,0,31,0,0,1,0,.,.,.,.,.,.,11.15,11.15,5.21,5.21,.,.,.,.,.,.
,1896,0,32,0,0,0,0,.,.,.,.,.,.,9.47,9.47,4.97,4.97,.,.,.,.,.,.
,1896,0,33,0,0,0,0,.,.,.,.,.,.,11.04,11.04,4.67,4.67,.,.,.,.,.,.
,1896,0,34,0,0,1,0,.,.,.,.,.,.,10.82,10.82,5.65,5.65,.,.,.,.,.,.
,1896,0,35,1,0,0,0,.,.,.,.,.,.,12.81,12.81,5.21,5.21,.,.,.,.,.,.
,1896,0,36,0,0,0,0,.,.,.,.,.,.,10.76,10.76,4.13,4.13,.,.,.,.,.,.
,1896,0,37,0,0,0,0,.,.,.,.,.,.,10.48,10.48,4.54,4.54,.,.,.,.,.,.
,1896,0,38,0,1,0,0,.,.,.,.,.,.,9.3,9.3,4.38,4.38,.,.,.,.,.,.
,1896,0,39,0,1,0,0,.,.,.,.,.,.,9.12,9.12,4.1,4.1,.,.,.,.,.,.
,1896,0,40,0,0,0,0,.,.,.,.,.,.,10.41,10.41,4.17,4.17,.,.,.,.,.,.
,1896,0,41,0,1,0,0,.,.,.,.,.,.,8.38,8.38,4.88,4.88,.,.,.,.,.,.
,1896,0,42,0,0,0,0,.,.,.,.,.,.,9.95,9.95,4.23,4.23,.,.,.,.,.,.
,1896,0,43,0,0,1,0,.,.,.,.,.,.,11.4,11.4,5.02,5.02,.,.,.,.,.,.
,1896,0,44,1,0,0,0,.,.,.,.,.,.,12.38,12.38,4.62,4.62,.,.,.,.,.,.
,1896,0,45,0,0,0,0,.,.,.,.,.,.,9.97,9.97,4.42,4.42,.,.,.,.,.,.
,1896,0,46,0,0,0,0,.,.,.,.,.,.,10.09,10.09,4.82,4.82,.,.,.,.,.,.
,1896,0,47,0,0,1,0,.,.,.,.,.,.,10.31,10.31,5.25,5.25,.,.,.,.,.,.
,1896,0,48,0,0,0,1,.,.,.,.,.,.,9.98,9.98,4.01,4.01,.,.,.,.,.,.
,1896,0,49,0,0,0,0,.,.,.,.,.,.,11.87,11.87,4.61,4.61,.,.,.,.,.,.
,1896,0,50,0,0,0,0,.,.,.,.,.,.,10.73,10.73,4.53,4.53,.,.,.,.,.,.
,1896,0,51,1,0,0,0,.,.,.,.,.,.,13.87,13.87,5.72,5.72,.,.,.,.,.,.
,1896,0,52,0,0,0,0,.,.,.,.,.,.,11.53,11.53,4.31,4.31,.,.,.,.,.,.
,1896,0,53,0,0,0,0,.,.,.,.,.,.,11.64,11.64,4.57,4.57,.,.,.,.,.,.
,1896,0,54,0,0,0,0,.,.,.,.,.,.,11.25,11.25,4.16,4.16,.,.,.,.,.,.
,1896,0,55,0,0,0,0,.,.,.,.,.,.,11.86,11.86,5.01,5.01,.,.,.,.,.,.
,1896,0,56,0,0,0,0,.,.,.,.,.,.,10.49,10.49,4.86,4.86,.,.,.,.,.,.
,1896,0,57,0,0,0,0,.,.,.,.,.,.,11.13,11.13,4.55,4.55,.,.,.,.,.,.
,1896,0,58,0,0,0,1,.,.,.,.,.,.,11.13,11.13,4.1,4.1,.,.,.,.,.,.
,1896,0,59,0,0,0,0,.,.,.,.,.,.,10.85,10.85,4.45,4.45,.,.,.,.,.,.
