YR,GEN,IHP,ILP,IHO,ILO,IRHP,IRLP,IRLP2,IRHO,IRLO,ISHO,IHP,ILP,IHO,ILO,IRHP,IRLP,IRLP2,IRHO,IRLO,ISHO
1896,0,0,0,0,0,.,.,.,.,.,.,10.93,10.93,4.69,4.69,.,.,.,.,.,.
1897,1,1,1,1,1,.,.,.,.,.,.,10.97,10.63,4.79,4.1,.,.,.,.,.,.
1898,2,2,2,2,2,.,.,.,.,.,.,10.98,10.5,5.1,3.95,.,.,.,.,.,.
1899,3,3,3,3,3,.,.,.,.,.,.,11.63,9.54,5.65,3.85,.,.,.,.,.,.
1900,4,4,4,4,4,.,.,.,.,.,.,12.62,9.13,6.1,3.57,.,.,.,.,.,.
1901,5,5,5,5,5,.,.,.,.,.,.,13.67,9.64,6.24,3.45,.,.,.,.,.,.
1902,6,6,6,6,6,.,.,.,.,.,.,12.91,7.86,6.26,3,.,.,.,.,.,.
1903,7,7,7,7,7,.,.,.,.,.,.,13.46,8.02,6.51,2.99,.,.,.,.,.,.
1904,8,8,8,8,8,.,.,.,.,.,.,15.03,8.16,7.12,2.91,.,.,.,.,.,.
1905,9,9,9,9,9,.,.,.,.,.,.,14.73,8.57,7.29,2.58,.,.,.,.,.,.
1906,10,10,10,10,10,.,.,.,.,.,.,14.25,8.64,7.37,2.66,.,.,.,.,.,.
1907,11,11,11,11,11,.,.,.,.,.,.,13.89,7.32,7.43,2.59,.,.,.,.,.,.
1908,12,12,12,12,12,.,.,.,.,.,.,13.94,8.96,7.2,2.39,.,.,.,.,.,.
1909,13,13,13,13,13,.,.,.,.,.,.,13.28,7.47,7.04,2.24,.,.,.,.,.,.
1910,14,14,14,14,14,.,.,.,.,.,.,14.87,8.25,7.72,2.2,.,.,.,.,.,.
1911,15,15,15,15,15,.,.,.,.,.,.,13.78,7.9,7.51,2.05,.,.,.,.,.,.
1912,16,16,16,16,16,.,.,.,.,.,.,14.48,8.23,7.71,2.18,.,.,.,.,.,.
1913,17,17,17,17,17,.,.,.,.,.,.,14.83,7.71,8.15,1.9,.,.,.,.,.,.
1914,18,18,18,18,18,.,.,.,.,.,.,15.04,7.65,8.3,1.98,.,.,.,.,.,.
1915,19,19,19,19,19,.,.,.,.,.,.,14.53,7.26,8.46,2.07,.,.,.,.,.,.
1916,20,20,20,20,20,.,.,.,.,.,.,15.66,8.68,8.5,2.06,.,.,.,.,.,.
