generation,touching_pterygiophores
10.02506266,1.396551724
140.3508772,1.413793103
260.6516291,1.327586207
380.952381,1.224137931
511.2781955,1.175862069
621.5538847,1.031034483
731.8295739,1.027586207
882.2055138,0.989655172
992.481203,1.04137931
1132.83208,0.986206897
1253.132832,0.920689655
1383.458647,0.924137931
1503.759398,0.975862069
1624.06015,1
1754.385965,1.048275862
1874.686717,0.913793103
2005.012531,0.982758621
2125.313283,0.817241379
2255.639098,0.820689655
2375.93985,0.924137931
2506.265664,0.793103448
2626.566416,0.762068966
2756.892231,0.889655172
2877.192982,0.862068966
3007.518797,0.834482759
3137.844612,0.851724138
3258.145363,0.810344828
3388.471178,0.889655172
3498.746867,0.817241379
3619.047619,0.868965517
3749.373434,0.84137931
3879.699248,0.831034483
4010.025063,0.893103448
4130.325815,0.844827586
4260.651629,0.734482759
4380.952381,0.820689655
4501.253133,0.806896552
4641.60401,0.851724138
4761.904762,0.955172414
5002.506266,0.813793103
5132.83208,0.786206897
5253.132832,0.84137931
5383.458647,0.737931034
5493.734336,0.727586207
5624.06015,0.779310345
5754.385965,0.834482759
5864.661654,0.837931034
6005.012531,0.779310345
6115.288221,0.655172414
6245.614035,0.717241379
6375.93985,0.731034483
6496.240602,0.9
6626.566416,0.827586207
6756.892231,0.862068966
6857.142857,0.920689655
7117.794486,0.996551724
7248.120301,0.782758621
7368.421053,0.982758621
