Data,Study,Trait,Sample1,Sample2,AuthorDate,Data.type,Citation,Species,System,Order,Sex,GenPhen,AlloSyn,Autonomous,Trait,Dimensionality (k),BodySizeCorrelated,Years,GLength,Darwins,Darwins.num,Darwins.num.abs,Darwins (standardized by k),Haldanes,Generations,log10.gens,h.num,Darwin.Numerator,log10.years,d,InSitu
1,1,1,HAMN,TAUP,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,221.9999998,1,-24.5477703,-0.005449605,0.005449605,-24.5477703,NA,221.9999998,2.346352974,NA,0.005449605,2.346352974,-0.005449605,2
2,1,1,HAMN,PALM,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,220.0000001,1,-49.67759543,-0.010929071,0.010929071,-49.67759543,NA,220.0000001,2.342422681,NA,0.010929071,2.342422681,-0.010929071,2
3,1,1,HAMN,HAST,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,220.0000001,1,-49.67759543,-0.010929071,0.010929071,-49.67759543,NA,220.0000001,2.342422681,NA,0.010929071,2.342422681,-0.010929071,2
4,1,1,HAMN,CHCH,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,221.9999998,1,-49.2300496,-0.010929071,0.010929071,-49.2300496,NA,221.9999998,2.346352974,NA,0.010929071,2.346352974,-0.010929071,2
5,1,1,HAMN,KAIK,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-48.35872126,-0.010929071,0.010929071,-48.35872126,NA,225.9999999,2.354108439,NA,0.010929071,2.354108439,-0.010929071,2
6,1,1,HAMN,NELN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-73.3871697,-0.016438726,0.016438726,-73.3871697,NA,223.9999998,2.350248018,NA,0.016438726,2.350248018,-0.016438726,2
7,1,1,HAMN,AUCK,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-98.12012061,-0.021978907,0.021978907,-98.12012061,NA,223.9999998,2.350248018,NA,0.021978907,2.350248018,-0.021978907,2
8,1,1,HAMN,NEWP,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-98.12012061,-0.021978907,0.021978907,-98.12012061,NA,223.9999998,2.350248018,NA,0.021978907,2.350248018,-0.021978907,2
9,1,1,HAMN,WELL,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-121.9024425,-0.027549952,0.027549952,-121.9024425,NA,225.9999999,2.354108439,NA,0.027549952,2.354108439,-0.027549952,2
10,1,1,HAMN,DUND,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-121.9024425,-0.027549952,0.027549952,-121.9024425,NA,225.9999999,2.354108439,NA,0.027549952,2.354108439,-0.027549952,2
11,1,1,HAMN,INVE,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-121.9024425,-0.027549952,0.027549952,-121.9024425,NA,225.9999999,2.354108439,NA,0.027549952,2.354108439,-0.027549952,2
