clone	budset	ft2
SwAsp001	237.0548723	0
SwAsp003	229.2116263	0
SwAsp004	234.6688363	0
SwAsp005	233.2237694	0
SwAsp009	233.8557945	0
SwAsp010	234.60121	0
SwAsp011	231.3005636	0
SwAsp012	234.3965062	0
SwAsp013	222.0215146	0
SwAsp014	229.0684254	0
SwAsp015	233.5892666	0
SwAsp016	236.8158353	0
SwAsp018	230.3002843	0
SwAsp021	222.3203935	0
SwAsp022	227.6911218	0
SwAsp023	238.0510504	0
SwAsp024	226.3912506	0
SwAsp025	232.1493702	0
SwAsp026	221.7519899	1
SwAsp028	226.1929798	0
SwAsp029	229.0622666	0
SwAsp030	227.0138889	0
SwAsp032	231.0103261	0
SwAsp033	228.7210859	0
SwAsp034	238.816918	0
SwAsp035	229.548944	0
SwAsp036	233.5983002	0
SwAsp037	233.2655279	0
SwAsp038	217.1994256	0
SwAsp039	231.7562776	0
SwAsp040	216.8115778	0
SwAsp041	220.0050502	0
SwAsp042	230.7204581	0
SwAsp043	224.6484746	1
SwAsp045	239.2574245	0
SwAsp046	227.2048767	0
SwAsp047	236.9547526	0
SwAsp048	232.6409625	0
SwAsp049	223.3844292	0
SwAsp051	237.2503143	0
SwAsp052	221.632569	0
SwAsp054	233.357506	0
SwAsp055	225.4857366	1
SwAsp056	220.2984317	0
SwAsp057	222.2127506	0
SwAsp058	208.1654231	1
SwAsp059	226.8607553	0
SwAsp060	223.232754	0
SwAsp061	198.0065818	2
SwAsp062	201.4073083	1
SwAsp063	197.7607843	1
SwAsp064	198.5100237	1
SwAsp065	210.876911	0
SwAsp066	215.6415091	0
SwAsp067	217.3201609	0
SwAsp068	214.6180261	1
SwAsp069	202.6758906	1
SwAsp070	196.8931348	2
SwAsp071	201.9129261	1
SwAsp072	205.0491475	1
SwAsp073	209.1375681	2
SwAsp074	208.2398421	2
SwAsp076	215.5124011	1
SwAsp077	199.7586636	0
SwAsp078	215.7298761	0
SwAsp079	217.4640687	1
SwAsp080	199.4419736	2
SwAsp081	201.581129	2
SwAsp082	198.8678026	2
SwAsp084	199.1161771	2
SwAsp086	199.0950859	2
SwAsp087	204.9040265	2
SwAsp088	205.2341914	1
SwAsp089	204.1680373	1
SwAsp090	201.8360551	2
SwAsp091	199.5806617	2
SwAsp092	204.3929876	2
SwAsp093	205.4089675	2
SwAsp094	201.9071768	1
SwAsp095	205.0452527	1
SwAsp096	204.3193538	1
SwAsp097	207.1469801	2
SwAsp098	200.654101	2
SwAsp103	200.3887637	2
SwAsp106	199.4709582	2
SwAsp109	198.6064177	2
SwAsp110	198.721285	2
SwAsp111	200.097421	2
SwAsp112	201.3155381	2
SwAsp113	198.8092993	2
SwAsp114	201.4042556	2
SwAsp115	202.3695561	2
SwAsp116	201.6695186	2
