father_forehead_patch,daughters_forehead_patch
-2.560834099,-0.901283086
-2.053521979,0.749216615
-1.97222177,-0.47789898
-1.708017406,0.310848971
-1.562157323,-0.429017125
-1.2656189,-0.345736928
-1.175200401,0.914328657
-1.23690093,-1.506831846
-0.98183593,-0.23093785
-0.97445432,0.972262707
-0.880254015,1.3705593
-0.746958443,-1.589709722
-0.69609972,-0.867960396
-0.682868262,0.021868412
-0.419759147,0.636199238
-0.470506259,-1.16956014
-0.464006295,0.923984332
-0.538856935,-1.497176171
-0.39058567,-0.786139161
-0.277032196,-0.243531609
-0.114804361,0.314209647
-0.217403422,0.769493533
-0.051345928,2.574501275
0.05612292,-0.208456573
0.084165741,-1.381088624
0.190432952,-0.657251706
0.151274772,1.339178357
0.196770435,0.380249135
0.213008378,-0.987740788
0.507912565,0.391772723
0.734465088,-0.058601293
0.813723045,0.687420295
0.860851935,2.802013117
0.9703491,-0.607756836
1.044654605,0.257742758
1.299572088,0.726042995
1.414543589,0.300227728
1.247615361,-0.085033704
1.311488417,-1.596146839
1.493375279,2.203361268
1.486018574,1.276416469
1.467492705,-1.057842959
2.467966236,2.645108399
-0.38664422,0.782828283
0.007174924,0.404040404
-0.289943082,0.467171717
-0.754534432,0.261994949
-1.104512386,-0.085227273
-0.632906445,-1.079545455
-0.334661095,-1.000631313
0.126673481,-1.205808081
-0.613741582,-0.748106061
0.314564294,-0.448232323
0.546922599,-0.337752525
0.53339446,0.041035354
0.351390893,0.025252525
0.435190196,0.16729798
0.267591591,-0.116792929
-0.146018719,-0.148358586
0.099992985,-0.400883838
1.074770523,-0.495580808
0.878361993,-0.243055556
0.512726471,-0.47979798
0.345002605,-0.779671717
0.181412338,-0.558712121
0.064794773,-0.669191919
