father_forehead_patch,sons_forehead_patch
-2.572871043,-1.990992977
-2.03015558,-0.829550459
-1.9972226,-1.707277163
-1.747452715,-0.029423689
-1.546757993,-0.41368122
-1.510658918,-1.377032299
-1.292081207,0.386886794
-1.263179205,-0.68894643
-1.333371372,-1.945710699
-1.211632237,-0.176838601
-1.172779229,-1.176789462
-1.316008301,-1.471369287
-1.046847023,1.108463386
-0.935266151,0.508036855
-0.891776777,-0.123057819
-0.88896646,-0.655151321
-0.875668565,-1.20558841
-0.802080254,-1.454879533
-0.74270367,1.504565462
-0.545753955,0.330735608
-0.555130617,-0.371628211
-0.568700123,-0.842752941
-0.518886791,0.897032818
-0.496081768,-1.198715623
-0.479222963,-1.665216504
-0.334493733,1.53676295
-0.343541617,2.815540191
-0.191946448,0.125051334
-0.265479913,-0.299883117
-0.234078387,-0.659068366
-0.186135746,0.951844399
-0.194294992,-1.166693033
0.011092546,-0.916394811
-0.088629928,1.480692396
-0.021026949,-1.677597289
0.140100959,0.382950748
0.111139427,-0.100094838
0.098525507,-0.369750029
0.201513722,1.110131765
0.228361681,-1.275014731
0.322967728,-1.110970691
0.194403773,-1.663431704
0.391558294,0.60471612
0.432150602,0.134871421
0.440428408,-0.37690501
0.598133566,1.247849514
0.619068257,1.837932947
0.643581592,-0.959770781
0.750633892,0.319659073
0.726648314,-0.334312405
0.783966919,-1.632405373
0.908362872,2.28979879
0.907914918,0.724721503
0.93020825,1.230869969
1.12960884,0.229840289
1.1861275,-0.220303161
1.280194315,2.390531048
1.286365024,0.414110267
1.25637603,1.506988953
1.280969279,-0.873439569
1.333558248,1.80632812
1.41790625,0.107305204
1.500788311,-0.262081
1.436947706,2.210055283
1.565513539,0.638663673
1.568359858,-0.885485996
1.436139495,-1.146715329
1.706028163,1.586475424
1.704290509,1.220120012
1.973195853,-1.033565758
2.218100017,0.999193229
2.189904222,1.639750014
2.222726578,-0.999321549
2.299177458,2.373581429
2.297450195,2.009416847
2.364652958,0.246135687
2.617582661,-0.596188784
2.806590937,1.01658324
-1.897653773,-0.604629042
0.493975904,3.630627774
1.177298668,2.697844008
-0.302219404,0.7661171
-0.348636652,0.979813993
-0.516296766,0.631473261
-0.634115409,0.79137603
1.493341788,-0.669731558
1.16131896,-0.67121116
1.374635384,-0.69699852
1.75307546,-0.909215811
1.304629042,-0.45666878
1.400380469,-0.269076305
1.282688649,-0.082435003
1.140646798,-0.029592052
1.212428662,0.104417671
1.284210526,0.238427394
0.69220038,0.422954978
0.572225745,0.128302684
0.525681674,0.315261044
0.409511731,0.822764743
0.314267597,0.7421264
0.195180723,0.634643839
0.076093849,0.527161277
-0.042866202,0.446417248
0.004185162,0.366413021
0.383512999,0.341365462
0.452758402,-0.059395477
0.404692454,-0.193299514
0.28560558,-0.300782076
0.284971465,-0.434474741
0.450475587,-0.540689072
0.569689283,-0.406467977
0.830944832,-0.325089833
0.737222575,-0.084865779
1.02511097,0.611604312
1.025618263,0.718558444
0.860114141,0.824772775
0.884210526,0.90509406
0.837793278,1.118790953
0.696639188,1.358803636
1.052377933,1.360388924
1.433861763,1.789896428
1.267343056,1.682202494
-1.234876347,-0.869055168
-1.376791376,-0.789473684
-1.256816741,-0.494821391
-1.13785669,-0.414077362
-1.160811668,-0.25375185
-1.230818009,-0.013422109
-1.064806595,-0.012682308
-0.898287888,0.095011625
-0.897653773,0.228704291
-0.590234623,0.042908476
-0.613189601,0.203233989
-0.877108434,-0.43965335
-0.806087508,-0.466074826
-0.617755231,-0.759353202
-0.808116677,-0.893891355
-0.976030438,-1.295709152
-0.953455929,-1.536250264
-1.283830057,-1.190128937
-1.094483196,-1.269499049
-0.405199746,-0.945571761
-0.215726062,-0.99820334
-0.073684211,-1.05104629
-0.098541535,-1.291798774
0.020038047,-1.291270345
0.09220038,-1.077045022
0.140519975,-0.889663919
0.282942295,-0.86229127
0.375903614,-1.262946523
0.589980977,-1.128302684
0.757133798,-0.886916085
0.046417248,-0.729655464
-0.143563729,-0.783978017
-0.404185162,-0.731663496
-0.118960051,-0.5967026
0.023969562,-0.462375819
-0.426632847,-0.464383851
-0.236905517,-0.463538364
-0.640710209,-0.59902769
-0.644134432,-1.320968083
-0.643373494,-1.160536884
-0.927457197,-1.054850983
0.216360178,0.099978863
0.35802156,-0.033079687
0.311984781,0.260832805
-0.04527584,-0.061614881
0.04895371,-0.194884802
-0.140012682,-0.035299091
0.050475587,0.125977595
-0.091312619,0.232297611
-0.138363982,0.312301839
-0.32796449,0.338194885
-0.375903614,0.231029381
-0.377045022,-0.009617417
-0.519467343,-0.036990066
-0.638807863,-0.197949694
-0.781103361,-0.198583809
-0.710462904,-0.305220884
-0.449207356,-0.223842739
-0.377679138,-0.143310082
-0.378440076,-0.303741281
2.332149651,1.178926231
-1.775142676,0.224793912
-1.011160431,1.297717185
-0.274191503,1.675332911
-0.086366519,1.275100402
-0.609384908,1.005389981
-0.49055168,1.059395477
-0.564362714,0.497569224
-0.447178186,0.20397379
-0.281547242,0.124497992
0.336968928,0.528323822
0.241090679,0.313992813
0.121876982,0.179771718
0.265313887,0.421052632
0.407736208,0.44842528
0.147114775,0.500739801
-0.355865568,-0.544282393
-0.521750159,-0.518283661
-0.687381103,-0.438807863
-0.261889664,-0.731029381
0.046797717,-0.649439865
1.184273938,-0.831536673
-0.448065948,0.016804058
-0.068230818,0.098710632
-0.468230818,0.765377299
