habitat,dNdS
Surface,0.415683453
Subterranean,0.270647482
Surface,0.367338129
Subterranean,0.303884892
Surface,0.403597122
Subterranean,0.352230216
Surface,0.340143885
Subterranean,0.364316547
Surface,0.261582734
Subterranean,0.231366906
Surface,0.403597122
Subterranean,0.352230216
Surface,0.297841727
Subterranean,0.318992806
Surface,0.406618705
Subterranean,0.173956835
Surface,0.427769784
Subterranean,0.325035971
Surface,0.506330935
Subterranean,0.461007194
Surface,0.581870504
Subterranean,0.506330935
