Pop_size_log,H_log
3.045454545,-0.000408745
3.017045455,0.005442015
3.244318182,0.011335551
2.931818182,0.01128327
2.676136364,0.011240494
3.926136364,0.004757605
3.926136364,0.01144962
3.954545455,0.018146388
3.926136364,0.026506654
3.784090909,0.037357414
4.153409091,0.037419202
4.125,0.047452471
3.698863636,0.047381179
3.926136364,0.069168251
4.977272727,0.00911597
4.977272727,0.016644487
4.977272727,0.025846008
4.806818182,0.033346008
5.119318182,0.035071293
5.119318182,0.04259981
4.778409091,0.045052281
5.005681818,0.049272814
4.948863636,0.061810837
5.176136364,0.066867871
5.005681818,0.068512357
5.005681818,0.075204373
5.005681818,0.109500951
5.005681818,0.115356464
5.261363636,0.112889734
4.835227273,0.112818441
4.948863636,0.12036597
5.375,0.017547529
5.630681818,0.02009981
5.517045455,0.028445817
5.517045455,0.034301331
5.517045455,0.049358365
5.744318182,0.048559886
5.517045455,0.068597909
5.517045455,0.07779943
5.517045455,0.075289924
5.772727273,0.008412548
6.227272727,0.010161597
6.028409091,0.02016635
5.971590909,0.037723384
6.255681818,0.040280418
6.028409091,0.06868346
6.028409091,0.078721483
5.914772727,0.089576996
6.170454545,0.087946768
5.886363636,0.119686312
6.284090909,0.118079848
6.113636364,0.130598859
7.022727273,0.098963878
6.994318182,0.147476236
6.994318182,0.12740019
7.988636364,0.037224335
7.988636364,0.043079848
7.988636364,0.051444867
8.017045455,0.057305133
7.988636364,0.080722433
7.903409091,0.089909696
8.159090909,0.089952471
7.960227273,0.104976236
7.676136364,0.110784221
7.903409091,0.110822243
8.102272727,0.110855513
8.301136364,0.110888783
8.073863636,0.129253802
7.988636364,0.181102662
8.954545455,0.070846008
9.210227273,0.120242395
8.869318182,0.119348859
9.068181818,0.126910646
9.096590909,0.158702471
9.096590909,0.17125
9.068181818,0.188811787
8.926136364,0.212210076
9.181818182,0.213089354
9.068181818,0.231473384
10.77272727,0.121340304
11.22727273,0.120579848
11.08522727,0.186639734
11.05681818,0.197509506
11.05681818,0.205038023
11.05681818,0.214239544
11.14204545,0.225128327
