tajima_D_bin,tmp_maize,maize,tmp_teo,teo
-2.4,Bar27,-0.253807107,Bar26,-1.015228426
-2,Bar25,1.649746193,Bar24,3.934010152
-1.6,Bar23,33.62944162,Bar22,46.57360406
-1.2,Bar21,44.67005076,Bar20,99.11167513
-0.8,Bar19,96.82741117,Bar18,144.035533
-0.4,Bar17,69.41624365,Bar16,159.2639594
0,Bar15,177.5380711,Bar14,150.8883249
0.4,Bar13,104.0609137,Bar12,93.78172589
0.8,Bar11,89.97461929,Bar10,56.85279188
1.2,Bar9,65.2284264,Bar8,23.73096447
1.6,Bar7,69.79695431,Bar6,11.54822335
2,Bar5,31.72588832,Bar4,5.076142132
2.4,Bar3,10.40609137,Bar2,0.507614213
2.8,Bar1,1.649746193,Bar0,0.888324873
