Island_mainland,range_size,piS
I,2.737648529,0.001762105
I,23.77763917,0.001339628
I,62.59648901,0.000517947
I,60.82011775,0.001827699
I,54.3178259,0.002586416
I,265.2644559,0.001762105
I,549.1484823,0.00253958
I,581.452209,0.002077114
I,991.8557224,0.00144122
I,2238.553016,0.000472719
I,1846.863219,0.002154435
I,2519.107192,0.002682696
M,122520.1674,0.003464835
M,1188546.857,0.002077114
M,2322852.317,0.003727594
M,1296300.417,0.004641589
M,1353786.993,0.006938568
M,4354186.318,0.004159562
M,18070749.02,0.003528735
M,7609410.588,0.01
M,21666942.82,0.012451971
M,26849353.09,0.010372251
M,92047906.61,0.00379634
