dist_dhfr_kb,het_sweep,het_non_sweep
-537,0.814977974,0.872246696
-460,0.863436123,0.9030837
-363,0.823788546,0.854625551
-141,0.828193833,0.911894273
-89,0.788546256,0.911894273
-58,0.577092511,0.964757709
-30,0.36123348,0.916299559
-4.5,0.044052863,0.889867841
-4.2,0.052863436,0.907488987
-3.9,0,0.841409692
-1.2,0.004405286,0.885462555
-0.1,0.039647577,0.81938326
0.2,0.004405286,0.863436123
0.5,0,0.837004405
0.41,0.092511013,0.863436123
5.9,0,0.550660793
40,0.594713656,0.929515419
49,0.850220264,0.942731278
121,0.806167401,0.859030837
181,0.837004405,0.845814978
239,0.837004405,0.850220264
300,0.731277533,0.850220264
