,counts,breaks
Bar0,3.068181818,121.9726047
Bar1,6.022727273,123.9352215
Bar2,10.11363636,125.9920097
Bar3,7.954545455,127.9531997
Bar4,14.88636364,129.8220019
Bar5,18.86363636,131.9711779
Bar6,33.97727273,133.9337947
Bar7,41.70454545,135.8960548
Bar8,37.84090909,137.9531997
Bar9,46.81818182,139.9154598
Bar10,33.86363636,141.9715346
Bar11,49.65909091,143.8403367
Bar12,34.88636364,145.9902262
Bar13,33.63636364,147.859385
Bar14,34.88636364,149.9151031
Bar15,26.02272727,151.784262
Bar16,20.90909091,153.933438
Bar17,17.84090909,155.8025968
Bar18,6.022727273,157.8586716
Bar19,6.022727273,160.0082043
Bar20,2.159090909,161.7835485
Bar21,0.681818182,163.8392666
Bar22,1.931818182,165.8953414
Bar23,0.795454545,167.8586716
blah,NA,170.0078476
