silver_years,silver_freq,cross_years,cross_freq,red_years,red_freq
1834.172347,16.17636347,1834.291497,32.1383602,1834.236345,52.52276346
1844.403675,14.67725319,1844.03998,29.09893129,1844.125831,57.36849225
1854.151638,11.83012997,1853.953922,24.9062926,1854.335827,63.75391531
1863.898561,9.367618136,1863.855375,25.3289905,1863.743509,66.67471409
1873.965472,8.637106257,1873.766195,22.29018596,1873.797933,70.5595388
1883.875251,5.982913098,1884.153616,23.09936835,1884.022498,71.56040251
1894.097735,7.752999573,1894.060793,21.40670364,1893.925513,71.40618334
1903.837373,7.982767412,1903.636534,22.21276419,1903.666712,71.0590341
1913.908967,5.521504313,1913.854335,25.71360188,1913.571287,70.32789785
1923.649125,5.558966461,1923.768276,21.52096319,1923.462855,74.40440388
