month_CC,CC,month_LC,LC,month_LL,LL
0.931034483,0.248834206,0.965517241,0.4988433,1,0.248852393
2,0.282343955,1.931034483,0.516502983,2.034482759,0.204821403
3,0.37437982,3.034482759,0.407616761,3,0.208240579
3.931034483,0.553422814,3.896551724,0.232211189,3.965517241,0.211659756
4.896551724,0.414436927,5.034482759,0.348017605,5,0.240413575
6.965517241,0.429223047,7,0.362776444,6.965517241,0.210868616
8.931034483,0.304741379,8.965517241,0.455066929,9,0.247797541
10.89655172,0.257791357,10.96551724,0.465088026,11.03448276,0.294220137
11.96551724,0.178959334,11.93103448,0.498570493,11.96551724,0.326111232
12.86206897,0.220335007,12.96551724,0.530488869,12.96551724,0.261501528
