months_Andreas_Canyon ,Andreas_Canyon_freq,months_Pinon_Flats ,Pinon_Flats_freq,months_Keen_Camp,Keen_Camp_freq
0.985415573,58.22003701,3.012650885,47.50296937,4.045410601,32.69521863
2.047040301,59.16346712,4.048145181,46.3453305,4.992182968,30.33395023
3.008700936,64.45280778,5.014971135,34.08488247,6.025246527,30.37621192
4.049056708,60.89536779,6.027677264,29.17631136,7.026102809,31.31715604
5.009198133,51.9346463,7.45816645,43.03483137,7.994751816,33.15678259
6.071430544,37.57810126,8.937270392,47.89534017,9.45775212,30.9666326
8.979200619,57.19705549,11.00339751,47.97986355,,
9.91564235,59.93536447,,,,
11.03773168,61.03126813,,,,
12.02369969,54.32160318,,,,
