Z1 Z2 type_final
0.3321 0 G2
0.0746 0.0139 G3
0.0271 0 NA
0 0 NA
0 0 NA
0.0795 0 NA
0.0234 0 NA
0.9723 0.0277 PO
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0678 0.0065 NA
0.1082 0 NA
0 0 NA
0 0 NA
0.1433 0 NA
0 0.021 NA
0.0171 0.0397 NA
0.0173 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0409 0 NA
0.4542 0.2219 FS
0.1162 0 NA
0 0 NA
0 0 NA
0.0298 0 NA
0 0 NA
0 0.0325 NA
0 0 NA
0 0 NA
0 0 NA
0.0144 0.003 NA
0 0 NA
0 0 NA
0.0746 0 NA
0.0193 0.0149 NA
0.0238 0 NA
0 0 NA
0.1545 0 NA
0.0454 0 NA
0 0 NA
0 0 NA
0.4641 0.2333 FS
0 0 NA
0.0073 0 NA
0 0 NA
0 0.0183 NA
0 0 NA
0.3865 0.0158 G1
0 0 NA
0.0687 0.0013 NA
0.0054 2e-04 NA
0.0235 0 NA
0.0557 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0365 0 NA
0.9698 0.0302 PO
0 0 NA
0.0045 0.0215 NA
0 0 NA
0.3307 0.0022 AV2
0.0567 0.0039 NA
0.0643 0 C3
1 0 PO
0.0893 0 NA
0 0 NA
0 0 NA
0.1653 6e-04 NA
0.0205 0 NA
0 0 NA
0 0 NA
0 0 NA
0.4916 0.0105 G1
0.5369 0.001 HS
0.0855 0 NA
0 0 NA
0.3931 0.0044 AV
0.0024 0.0181 NA
0.0702 0 NA
0 0 NA
0.0693 0 NA
0.2135 0 C0.5
0.0149 6e-04 NA
0 0 NA
0.0853 0 NA
0 0 NA
0.4957 0.2571 FS
0.0467 0 NA
0.0403 0.0162 NA
0.2278 0.0112 G2
0.011 4e-04 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0691 0 NA
0.1938 0 NA
0.0055 0.0419 NA
0.0617 0 NA
0.0483 0 NA
0 0 NA
0.4807 0.0244 G1
0.0645 0.0025 NA
0 0 NA
0 0 NA
0 0 NA
0.5294 0 AV
0 0 NA
0.5526 0.2269 FS
1 0 PO
1 0 PO
0.2727 0 NA
0.0868 0 NA
0.2793 0 NA
0 0 NA
0.042 0 NA
0 0 NA
0.1231 0 NA
0 0 C2r1
0.1394 0 NA
0 0 NA
0.3887 0.0182 AV
0.0783 0 NA
0 0 C3
0 0 C2r1
0.272 0 GAV
0 0 NA
0 0 NA
0.0083 0.0125 NA
0.0665 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0444 0 NA
0.0061 0.0052 NA
0.3791 0 GAV
0.0614 0.0053 NA
0 0 NA
0 0 NA
0.9992 8e-04 PO
0.5594 0.0062 G1
0.9852 0.0148 PO
0.0633 0 NA
0.3825 0.0045 GAV
0 0 NA
0.966 0.034 PO
0.0961 0 NA
0.0614 0 NA
0 0 NA
0 0 NA
0.959 0.041 PO
0.1194 0 NA
0.0361 0 NA
0 0 NA
0 0.0139 NA
0.0103 0.0043 NA
0.0082 0 NA
0.5344 0.0017 AV
0 0 NA
0.1642 0 NA
0.0359 0 NA
0.0648 0.0032 NA
0 0.0058 NA
0 0 NA
0 0 NA
0.5315 0 G1
0.1015 0 NA
0 0 NA
0 0 NA
0.1051 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1734 0.011 C1
0.0072 0.0227 NA
0.0415 0 NA
0 0 NA
0.4679 0 AV
0.1654 0 C2
0 0.0708 GAV
0 0 C2r1
0 0 NA
0 0 NA
0.0672 0 NA
0.0566 0 NA
0 0 NA
0 0 NA
0 0 NA
